mode,policy,capacity,n_seeds,total_accesses_mean,hits_mean,misses_mean,hit_rate_mean,hit_rate_std,recomputation_cost_mean,recomputation_cost_std
local,fifo,64,15,4000.0,2827.733333333333,1172.2666666666667,0.7069333333333333,0.008464456498176577,2162.6666666666665,52.51349033026342
local,lru,64,15,4000.0,2951.4666666666667,1048.5333333333333,0.7378666666666667,0.008679237677738004,1777.7333333333333,56.4933202962548
shared_global,fifo,512,15,4000.0,3276.733333333333,723.2666666666667,0.8191833333333333,0.005969765090696221,851.2666666666667,23.87906036278486
shared_global,lru,512,15,4000.0,3309.0666666666666,690.9333333333333,0.8272666666666667,0.0061109289294633854,754.9333333333333,24.443715717853493
