total_accesses,unique_blocks,unique_requests,reuse_ratio,shared_prefix_fraction,avg_recompute_cost,base_seed,num_requests,shared_prefix_reuse_prob
2000,626,4,0.687,0.194,1.388,2036,4,0.05
2000,470,4,0.765,0.4585,1.917,2036,4,0.2
2000,277,4,0.8615,0.718,2.436,2036,4,0.35
4000,1248,8,0.688,0.17775,1.3555,2036,8,0.05
4000,908,8,0.773,0.45475,1.9095,2036,8,0.2
4000,512,8,0.872,0.72575,2.4515,2036,8,0.35
8000,2494,16,0.68825,0.17125,1.3425,2036,16,0.05
8000,1822,16,0.77225,0.4525,1.905,2036,16,0.2
8000,998,16,0.87525,0.723875,2.44775,2036,16,0.35
2000,663,4,0.6685,0.158,1.316,2037,4,0.05
2000,511,4,0.7445,0.4145,1.829,2037,4,0.2
2000,296,4,0.852,0.707,2.414,2037,4,0.35
4000,1269,8,0.68275,0.163,1.326,2037,8,0.05
4000,961,8,0.75975,0.4375,1.875,2037,8,0.2
4000,553,8,0.86175,0.7115,2.423,2037,8,0.35
8000,2502,16,0.68725,0.16125,1.3225,2037,16,0.05
8000,1879,16,0.765125,0.441125,1.88225,2037,16,0.2
8000,1075,16,0.865625,0.711625,2.42325,2037,16,0.35
2000,660,4,0.67,0.1545,1.309,2038,4,0.05
2000,495,4,0.7525,0.415,1.83,2038,4,0.2
2000,303,4,0.8485,0.713,2.426,2038,4,0.35
4000,1241,8,0.68975,0.1725,1.345,2038,8,0.05
4000,928,8,0.768,0.4335,1.867,2038,8,0.2
4000,558,8,0.8605,0.70525,2.4105,2038,8,0.35
8000,2445,16,0.694375,0.17925,1.3585,2038,16,0.05
8000,1841,16,0.769875,0.435,1.87,2038,16,0.2
8000,1063,16,0.867125,0.7155,2.431,2038,16,0.35
2000,662,4,0.669,0.164,1.328,2039,4,0.05
2000,505,4,0.7475,0.4375,1.875,2039,4,0.2
2000,303,4,0.8485,0.7065,2.413,2039,4,0.35
4000,1282,8,0.6795,0.168,1.336,2039,8,0.05
4000,971,8,0.75725,0.4475,1.895,2039,8,0.2
4000,555,8,0.86125,0.71575,2.4315,2039,8,0.35
8000,2519,16,0.685125,0.172375,1.34475,2039,16,0.05
8000,1879,16,0.765125,0.457875,1.91575,2039,16,0.2
8000,1063,16,0.867125,0.722,2.444,2039,16,0.35
2000,659,4,0.6705,0.1685,1.337,2040,4,0.05
2000,489,4,0.7555,0.447,1.894,2040,4,0.2
2000,292,4,0.854,0.7155,2.431,2040,4,0.35
4000,1267,8,0.68325,0.16425,1.3285,2040,8,0.05
4000,940,8,0.765,0.4405,1.881,2040,8,0.2
4000,529,8,0.86775,0.72225,2.4445,2040,8,0.35
8000,2497,16,0.687875,0.169125,1.33825,2040,16,0.05
8000,1837,16,0.770375,0.440625,1.88125,2040,16,0.2
8000,1042,16,0.86975,0.717375,2.43475,2040,16,0.35
