workload,policy,capacity,total_accesses,hits,misses,hit_rate,miss_rate,recomputation_cost,base_seed,workload_seed
long_context,fifo,64,4000,174,3826,0.0435,0.9565,3826,50,73
long_context,fifo,128,4000,301,3699,0.07525,0.92475,3699,50,73
long_context,fifo,256,4000,454,3546,0.1135,0.8865,3546,50,73
long_context,fifo,512,4000,612,3388,0.153,0.847,3388,50,73
long_context,lru,32,4000,87,3913,0.02175,0.97825,3913,50,73
long_context,lru,64,4000,196,3804,0.049,0.951,3804,50,73
long_context,lru,128,4000,345,3655,0.08625,0.91375,3655,50,73
long_context,lru,256,4000,562,3438,0.1405,0.8595,3438,50,73
long_context,lru,512,4000,764,3236,0.191,0.809,3236,50,73
long_context,fifo,32,4000,99,3901,0.02475,0.97525,3901,51,74
long_context,fifo,64,4000,180,3820,0.045,0.955,3820,51,74
long_context,fifo,128,4000,302,3698,0.0755,0.9245,3698,51,74
long_context,fifo,256,4000,444,3556,0.111,0.889,3556,51,74
long_context,fifo,512,4000,600,3400,0.15,0.85,3400,51,74
long_context,lru,32,4000,104,3896,0.026,0.974,3896,51,74
long_context,lru,64,4000,200,3800,0.05,0.95,3800,51,74
long_context,lru,128,4000,344,3656,0.086,0.914,3656,51,74
long_context,lru,256,4000,536,3464,0.134,0.866,3464,51,74
long_context,lru,512,4000,756,3244,0.189,0.811,3244,51,74
long_context,fifo,32,4000,105,3895,0.02625,0.97375,3895,52,75
long_context,fifo,64,4000,190,3810,0.0475,0.9525,3810,52,75
long_context,fifo,128,4000,315,3685,0.07875,0.92125,3685,52,75
long_context,fifo,256,4000,477,3523,0.11925,0.88075,3523,52,75
long_context,fifo,512,4000,640,3360,0.16,0.84,3360,52,75
long_context,lru,32,4000,109,3891,0.02725,0.97275,3891,52,75
long_context,lru,64,4000,211,3789,0.05275,0.94725,3789,52,75
long_context,lru,128,4000,364,3636,0.091,0.909,3636,52,75
long_context,lru,256,4000,587,3413,0.14675,0.85325,3413,52,75
long_context,lru,512,4000,805,3195,0.20125,0.79875,3195,52,75
long_context,fifo,32,4000,110,3890,0.0275,0.9725,3890,53,76
long_context,fifo,64,4000,186,3814,0.0465,0.9535,3814,53,76
long_context,fifo,128,4000,315,3685,0.07875,0.92125,3685,53,76
long_context,fifo,256,4000,490,3510,0.1225,0.8775,3510,53,76
long_context,fifo,512,4000,637,3363,0.15925,0.84075,3363,53,76
long_context,lru,32,4000,113,3887,0.02825,0.97175,3887,53,76
long_context,lru,64,4000,199,3801,0.04975,0.95025,3801,53,76
long_context,lru,128,4000,363,3637,0.09075,0.90925,3637,53,76
long_context,lru,256,4000,606,3394,0.1515,0.8485,3394,53,76
long_context,lru,512,4000,794,3206,0.1985,0.8015,3206,53,76
long_context,fifo,32,4000,108,3892,0.027,0.973,3892,54,77
long_context,fifo,64,4000,185,3815,0.04625,0.95375,3815,54,77
long_context,fifo,128,4000,313,3687,0.07825,0.92175,3687,54,77
long_context,fifo,256,4000,493,3507,0.12325,0.87675,3507,54,77
long_context,fifo,512,4000,652,3348,0.163,0.837,3348,54,77
long_context,lru,32,4000,107,3893,0.02675,0.97325,3893,54,77
long_context,lru,64,4000,198,3802,0.0495,0.9505,3802,54,77
long_context,lru,128,4000,374,3626,0.0935,0.9065,3626,54,77
long_context,lru,256,4000,618,3382,0.1545,0.8455,3382,54,77
long_context,lru,512,4000,816,3184,0.204,0.796,3184,54,77
long_context,fifo,32,4000,107,3893,0.02675,0.97325,3893,55,78
long_context,fifo,64,4000,180,3820,0.045,0.955,3820,55,78
long_context,fifo,128,4000,309,3691,0.07725,0.92275,3691,55,78
long_context,fifo,256,4000,467,3533,0.11675,0.88325,3533,55,78
long_context,fifo,512,4000,627,3373,0.15675,0.84325,3373,55,78
long_context,lru,32,4000,110,3890,0.0275,0.9725,3890,55,78
long_context,lru,64,4000,195,3805,0.04875,0.95125,3805,55,78
long_context,lru,128,4000,361,3639,0.09025,0.90975,3639,55,78
long_context,lru,256,4000,579,3421,0.14475,0.85525,3421,55,78
long_context,lru,512,4000,792,3208,0.198,0.802,3208,55,78
long_context,fifo,32,4000,94,3906,0.0235,0.9765,3906,56,79
long_context,fifo,64,4000,169,3831,0.04225,0.95775,3831,56,79
long_context,fifo,128,4000,287,3713,0.07175,0.92825,3713,56,79
long_context,fifo,256,4000,433,3567,0.10825,0.89175,3567,56,79
long_context,fifo,512,4000,591,3409,0.14775,0.85225,3409,56,79
long_context,lru,32,4000,99,3901,0.02475,0.97525,3901,56,79
long_context,lru,64,4000,183,3817,0.04575,0.95425,3817,56,79
long_context,lru,128,4000,314,3686,0.0785,0.9215,3686,56,79
long_context,lru,256,4000,515,3485,0.12875,0.87125,3485,56,79
long_context,lru,512,4000,753,3247,0.18825,0.81175,3247,56,79
