workload,policy,capacity,n_seeds,total_accesses_mean,hits_mean,misses_mean,hit_rate_mean,hit_rate_std,recomputation_cost_mean
long_context,fifo,32,15,4000.0,96.66666666666667,3903.3333333333335,0.024166666666666666,0.00307592417393692,3903.3333333333335
long_context,fifo,64,15,4000.0,174.8,3825.2,0.043699999999999996,0.0038431293052853246,3825.2
long_context,fifo,128,15,4000.0,299.73333333333335,3700.266666666667,0.07493333333333332,0.0037146748880365747,3700.266666666667
long_context,fifo,256,15,4000.0,461.6,3538.4,0.1154,0.00543697657579231,3538.4
long_context,fifo,512,15,4000.0,615.9333333333333,3384.0666666666666,0.15398333333333333,0.00608237109154301,3384.0666666666666
long_context,lru,32,15,4000.0,99.33333333333333,3900.6666666666665,0.024833333333333332,0.003058458217250428,3900.6666666666665
long_context,lru,64,15,4000.0,191.6,3808.4,0.047900000000000005,0.004513669713848623,3808.4
long_context,lru,128,15,4000.0,346.46666666666664,3653.5333333333333,0.08661666666666666,0.005020375151984825,3653.5333333333333
long_context,lru,256,15,4000.0,568.6666666666666,3431.3333333333335,0.14216666666666666,0.008130446892186588,3431.3333333333335
long_context,lru,512,15,4000.0,771.8666666666667,3228.133333333333,0.19296666666666665,0.007212877043045667,3228.133333333333
