workload,policy,capacity,n_seeds,total_accesses_mean,hits_mean,misses_mean,hit_rate_mean,hit_rate_std,recomputation_cost_mean,recomputation_cost_std
long_context,fifo,128,15,4000.0,299.73333333333335,3700.266666666667,0.07493333333333332,0.0037146748880365747,3700.266666666667,14.858699552146298
long_context,lru,128,15,4000.0,346.46666666666664,3653.5333333333333,0.08661666666666666,0.005020375151984825,3653.5333333333333,20.081500607939315
multiturn,fifo,128,15,2400.0,1928.1333333333334,471.8666666666667,0.8033888888888889,0.00610723181345529,471.8666666666667,14.657356352292696
multiturn,lru,128,15,2400.0,1964.1333333333334,435.8666666666667,0.8183888888888888,0.006107231813455322,435.8666666666667,14.657356352292696
short_prompt,fifo,128,15,2000.0,1907.9333333333334,92.06666666666666,0.9539666666666666,0.0009347777938149355,92.06666666666666,1.8695555876298757
short_prompt,lru,128,15,2000.0,1907.9333333333334,92.06666666666666,0.9539666666666666,0.0009347777938149355,92.06666666666666,1.8695555876298757
