shift_level,n_seeds,total_accesses_mean,unique_blocks_mean,unique_blocks_std,reuse_ratio_mean,reuse_ratio_std,shared_prefix_fraction_mean,shared_prefix_fraction_std,avg_recompute_cost_mean,avg_recompute_cost_std,split_index_mean
hard,15,4800.0,2155.133333333333,13.90717526349339,0.5510138888888889,0.0028973281798944693,0.3853888888888889,0.010311933806807465,1.7707777777777778,0.020623867613614948,2400.0
moderate,15,4800.0,1862.7333333333333,25.336215374909617,0.6119305555555556,0.0052783782031061675,0.404625,0.01024961284595977,1.80925,0.02049922569191956,2400.0
